Name,Year,Runtime
1. What If...?,2021– ,N/A
2. Dr. Death,2021–2023,N/A
3. Only Murders in the Building,2021– ,N/A
4. Invincible,2021– ,N/A
5. Yellowjackets,2021– ,N/A
6. The White Lotus,2021–2025,N/A
7. Dune,2021,N/A
8. Vigil,2021– ,N/A
9. La Roue du temps,2021– ,N/A
10. 1883,2021–2022,N/A
11. Loki,2021–2023,N/A
12. Foundation,2021– ,N/A
13. Ceux qui veulent ma mort,2021,N/A
14. Mayor of Kingstown,2021– ,N/A
15. Mourir peut attendre,2021,N/A
16. Tous en scène 2,2021,N/A
17. Kin,2021– ,N/A
18. Spider-Man: No Way Home,2021,N/A
19. Arcane,2021– ,N/A
20. Queenpins,2021,N/A
21. Ghosts,2021– ,N/A
22. The Suicide Squad,2021,N/A
23. Power Book III: Raising Kanan,2021– ,N/A
24. Lupin,2021– ,N/A
25. Ne t'éloigne pas,2021,N/A
26. Squid Game,2021– ,N/A
27. Sex/Life,2021–2023,N/A
28. The King's Man: Première mission,2021,N/A
29. Mare of Easttown,2021,N/A
30. Reservation Dogs,2021–2023,N/A
31. Invasion,2021– ,N/A
32. Stillwater,2021,N/A
33. Don't Look Up: Déni cosmique,2021,N/A
34. House of Gucci,2021,N/A
35. Ginny & Georgia,2021– ,N/A
36. The Sex Lives of College Girls,2021– ,N/A
37. Zack Snyder's Justice League,2021,N/A
38. Le Dernier Duel,2021,N/A
39. Godzilla vs Kong,2021,N/A
40. Les Éternels,2021,N/A
41. Last Night in Soho,2021,N/A
42. The Madame Blanc Mysteries,2021– ,N/A
"43. Encanto, la fantastique famille Madrigal",2021,N/A
44. La Brea,2021–2024,N/A
45. The Green Knight,2021,N/A
46. Malignant,2021,N/A
47. S.O.S Fantômes : L'Héritage,2021,N/A
48. Cruella,2021,N/A
49. Free Guy,2021,N/A
50. CODA,2021,N/A
