title,movieId,director_name,actor_2_name,genres,actor_1_name,movie_title,actor_3_name,plot_keywords,movie_imdb_link
Lion of the Desert,5196,Moustapha Akkad,Rod Steiger,Biography|Drama|History|War,Oliver Reed,Lion of the Desert ,John Gielgud,arab|general|libya|muslim|mussolini,http://www.imdb.com/title/tt0081059/?ref_=fn_tt_tt_1
Commando,153496,Mark L. Lester,Vernon Wells,Action|Adventure|Thriller,Bill Duke,Commando ,Rae Dawn Chong,body count|dictator|jumping from an airplane|knife fight|one man army,http://www.imdb.com/title/tt0088944/?ref_=fn_tt_tt_1
Commando,6664,Mark L. Lester,Vernon Wells,Action|Adventure|Thriller,Bill Duke,Commando ,Rae Dawn Chong,body count|dictator|jumping from an airplane|knife fight|one man army,http://www.imdb.com/title/tt0088944/?ref_=fn_tt_tt_1
Commando,189687,Mark L. Lester,Vernon Wells,Action|Adventure|Thriller,Bill Duke,Commando ,Rae Dawn Chong,body count|dictator|jumping from an airplane|knife fight|one man army,http://www.imdb.com/title/tt0088944/?ref_=fn_tt_tt_1
The Thin Red Line,166237,Terrence Malick,Miranda Otto,Drama|War,Nick Stahl,The Thin Red Line ,Dash Mihok,battle|hill|jungle|multiple perspectives|tropical island,http://www.imdb.com/title/tt0120863/?ref_=fn_tt_tt_1
Clay Pigeons,2280,David Dobkin,Vince Vieluf,Comedy|Crime,Janeane Garofalo,Clay Pigeons ,Kevin Rahm,breasts|serial killer|small town|vomiting|widow,http://www.imdb.com/title/tt0118863/?ref_=fn_tt_tt_1
In Cold Blood,125481,Richard Brooks,Robert Blake,Biography|Crime|Drama|History,John Forsythe,In Cold Blood ,Will Geer,homoeroticism|kansas|murder|police|robbery,http://www.imdb.com/title/tt0061809/?ref_=fn_tt_tt_1
In Cold Blood,6852,Richard Brooks,Robert Blake,Biography|Crime|Drama|History,John Forsythe,In Cold Blood ,Will Geer,homoeroticism|kansas|murder|police|robbery,http://www.imdb.com/title/tt0061809/?ref_=fn_tt_tt_1
Drive,125698,Nicolas Winding Refn,Albert Brooks,Crime|Drama,Ryan Gosling,Drive ,Russ Tamblyn,kissing in an elevator|mythical hero|neo noir|protective male|silent protagonist,http://www.imdb.com/title/tt0780504/?ref_=fn_tt_tt_1
Drive,172777,Nicolas Winding Refn,Albert Brooks,Crime|Drama,Ryan Gosling,Drive ,Russ Tamblyn,kissing in an elevator|mythical hero|neo noir|protective male|silent protagonist,http://www.imdb.com/title/tt0780504/?ref_=fn_tt_tt_1
Drive,88129,Nicolas Winding Refn,Albert Brooks,Crime|Drama,Ryan Gosling,Drive ,Russ Tamblyn,kissing in an elevator|mythical hero|neo noir|protective male|silent protagonist,http://www.imdb.com/title/tt0780504/?ref_=fn_tt_tt_1
The Blue Room,126775,Mathieu Amalric,Léa Drucker,Crime|Romance|Thriller,Mathieu Amalric,The Blue Room ,Laurent Poitrenaux,male pubic hair|manipulative personality|murder of wife|neglected wife|pubic hair,http://www.imdb.com/title/tt3230082/?ref_=fn_tt_tt_1
Rio,130008,Carlos Saldanha,Wanda Sykes,Adventure|Animation|Comedy|Family|Musical,Anne Hathaway,Rio ,Will.i.am,bird|brazilian|cockatoo|macaw|minnesota,http://www.imdb.com/title/tt1436562/?ref_=fn_tt_tt_1
Rio,86298,Carlos Saldanha,Wanda Sykes,Adventure|Animation|Comedy|Family|Musical,Anne Hathaway,Rio ,Will.i.am,bird|brazilian|cockatoo|macaw|minnesota,http://www.imdb.com/title/tt1436562/?ref_=fn_tt_tt_1
The Rise of the Krays,141916,Zackary Adler,Kevin Leslie,Crime|Drama,Simon Merrells,The Rise of the Krays ,Kris Sommerville,,http://www.imdb.com/title/tt2945796/?ref_=fn_tt_tt_1
Public Enemies,149938,Michael Mann,Christian Bale,Biography|Crime|Drama|History|Romance,Johnny Depp,Public Enemies ,Stephen Graham,1930s|bank|celebrity criminal|fbi|public enemy number one,http://www.imdb.com/title/tt1152836/?ref_=fn_tt_tt_1
Public Enemies,149936,Michael Mann,Christian Bale,Biography|Crime|Drama|History|Romance,Johnny Depp,Public Enemies ,Stephen Graham,1930s|bank|celebrity criminal|fbi|public enemy number one,http://www.imdb.com/title/tt1152836/?ref_=fn_tt_tt_1
Public Enemies,69640,Michael Mann,Christian Bale,Biography|Crime|Drama|History|Romance,Johnny Depp,Public Enemies ,Stephen Graham,1930s|bank|celebrity criminal|fbi|public enemy number one,http://www.imdb.com/title/tt1152836/?ref_=fn_tt_tt_1
Destiny,151080,Joseph Kosinski,Lauren Cohan,Action|Adventure|Fantasy|Sci-Fi,Peter Dinklage,Destiny ,Erick Avari,first person shooter,http://www.imdb.com/title/tt2983582/?ref_=fn_tt_tt_1
Destiny,173773,Joseph Kosinski,Lauren Cohan,Action|Adventure|Fantasy|Sci-Fi,Peter Dinklage,Destiny ,Erick Avari,first person shooter,http://www.imdb.com/title/tt2983582/?ref_=fn_tt_tt_1
Destiny,206565,Joseph Kosinski,Lauren Cohan,Action|Adventure|Fantasy|Sci-Fi,Peter Dinklage,Destiny ,Erick Avari,first person shooter,http://www.imdb.com/title/tt2983582/?ref_=fn_tt_tt_1
Double Jeopardy,185197,Bruce Beresford,Annabeth Gish,Crime|Mystery|Thriller,Bruce Greenwood,Double Jeopardy ,Bruce Campbell,blood|murder|sex scene|wrongful arrest|wrongful conviction,http://www.imdb.com/title/tt0150377/?ref_=fn_tt_tt_1
Double Jeopardy,2881,Bruce Beresford,Annabeth Gish,Crime|Mystery|Thriller,Bruce Greenwood,Double Jeopardy ,Bruce Campbell,blood|murder|sex scene|wrongful arrest|wrongful conviction,http://www.imdb.com/title/tt0150377/?ref_=fn_tt_tt_1
Nixon,14,Oliver Stone,Bob Hoskins,Biography|Drama|History,Anthony Hopkins,Nixon ,Joan Allen,courtship|election|paranoia|president|quaker,http://www.imdb.com/title/tt0113987/?ref_=fn_tt_tt_1
Restoration,43,Zack Ward,Anna Harr,Horror,Zack Ward,Restoration ,James Cullen Bressack,,http://www.imdb.com/title/tt4517738/?ref_=fn_tt_tt_1
Restoration,158390,Zack Ward,Anna Harr,Horror,Zack Ward,Restoration ,James Cullen Bressack,,http://www.imdb.com/title/tt4517738/?ref_=fn_tt_tt_1
Home for the Holidays,57,Jodie Foster,Holly Hunter,Comedy|Drama|Romance,Robert Downey Jr.,Home for the Holidays ,Steve Guttenberg,dinner|gay interest|gay sibling|homosexual|thanksgiving,http://www.imdb.com/title/tt0113321/?ref_=fn_tt_tt_1
Home for the Holidays,143982,Jodie Foster,Holly Hunter,Comedy|Drama|Romance,Robert Downey Jr.,Home for the Holidays ,Steve Guttenberg,dinner|gay interest|gay sibling|homosexual|thanksgiving,http://www.imdb.com/title/tt0113321/?ref_=fn_tt_tt_1
Home for the Holidays,143980,Jodie Foster,Holly Hunter,Comedy|Drama|Romance,Robert Downey Jr.,Home for the Holidays ,Steve Guttenberg,dinner|gay interest|gay sibling|homosexual|thanksgiving,http://www.imdb.com/title/tt0113321/?ref_=fn_tt_tt_1
Mr. Holland's Opus,62,Stephen Herek,Olympia Dukakis,Drama|Music,Alicia Witt,Mr. Holland's Opus ,Jean Louisa Kelly,1990s|high school|high school teacher|teacher inspires students|teaching,http://www.imdb.com/title/tt0113862/?ref_=fn_tt_tt_1
Kids,175,Larry Clark,Leo Fitzpatrick,Drama,Rosario Dawson,Kids ,Justin Pierce,coming of age|marijuana|rape|virgin|weed,http://www.imdb.com/title/tt0113540/?ref_=fn_tt_tt_1
Kids,176353,Larry Clark,Leo Fitzpatrick,Drama,Rosario Dawson,Kids ,Justin Pierce,coming of age|marijuana|rape|virgin|weed,http://www.imdb.com/title/tt0113540/?ref_=fn_tt_tt_1
Showgirls,193,Paul Verhoeven,Elizabeth Berkley,Drama,Bobbie Phillips,Showgirls ,Robert Davi,cult film|lap dance|lap dancing|stripper|striptease,http://www.imdb.com/title/tt0114436/?ref_=fn_tt_tt_1
Exotica,233,Atom Egoyan,Mia Kirshner,Drama|Mystery|Romance,Bruce Greenwood,Exotica ,Sarah Polley,bird|cult film|egg|nightclub|toronto,http://www.imdb.com/title/tt0109759/?ref_=fn_tt_tt_1
Jefferson in Paris,254,James Ivory,Todd Boyce,Biography|Drama|History|Romance,Seth Gilliam,Jefferson in Paris ,Nigel Whitmey,18th century|ambassador|french revolution|friendship|thomas jefferson,http://www.imdb.com/title/tt0113463/?ref_=fn_tt_tt_1
Little Women,261,Gillian Armstrong,Kirsten Dunst,Drama|Family|Romance,Christian Bale,Little Women ,Eric Stoltz,civil war|female protagonist|post civil war|reference to friedrich schiller|u.s. civil war,http://www.imdb.com/title/tt0110367/?ref_=fn_tt_tt_1
Little Women,7054,Gillian Armstrong,Kirsten Dunst,Drama|Family|Romance,Christian Bale,Little Women ,Eric Stoltz,civil war|female protagonist|post civil war|reference to friedrich schiller|u.s. civil war,http://www.imdb.com/title/tt0110367/?ref_=fn_tt_tt_1
Little Women,202145,Gillian Armstrong,Kirsten Dunst,Drama|Family|Romance,Christian Bale,Little Women ,Eric Stoltz,civil war|female protagonist|post civil war|reference to friedrich schiller|u.s. civil war,http://www.imdb.com/title/tt0110367/?ref_=fn_tt_tt_1
Little Women,4921,Gillian Armstrong,Kirsten Dunst,Drama|Family|Romance,Christian Bale,Little Women ,Eric Stoltz,civil war|female protagonist|post civil war|reference to friedrich schiller|u.s. civil war,http://www.imdb.com/title/tt0110367/?ref_=fn_tt_tt_1
Priest,299,Scott Stewart,Alan Dale,Action|Fantasy|Horror|Sci-Fi|Thriller,Josh Wingate,Priest ,Jacob Hopkins,church|priest|sheriff|vampire|warrior,http://www.imdb.com/title/tt0822847/?ref_=fn_tt_tt_1
Priest,86835,Scott Stewart,Alan Dale,Action|Fantasy|Horror|Sci-Fi|Thriller,Josh Wingate,Priest ,Jacob Hopkins,church|priest|sheriff|vampire|warrior,http://www.imdb.com/title/tt0822847/?ref_=fn_tt_tt_1
What's Eating Gilbert Grape,337,Lasse Hallström,Leonardo DiCaprio,Drama|Romance,Johnny Depp,What's Eating Gilbert Grape ,Kevin Tighe,apostrophe in title|face slap|four word title|grocery store|police,http://www.imdb.com/title/tt0108550/?ref_=fn_tt_tt_1
Philadelphia,508,Jonathan Demme,Tom Hanks,Drama,Denzel Washington,Philadelphia ,Jason Robards,aids|city name in title|gay|homophobia|lawyer,http://www.imdb.com/title/tt0107818/?ref_=fn_tt_tt_1
Poetic Justice,510,John Singleton,Khandi Alexander,Drama|Romance,Janet Jackson,Poetic Justice ,Maya Angelou,african american|mail carrier|poetry|postal worker|south central los angeles,http://www.imdb.com/title/tt0107840/?ref_=fn_tt_tt_1
Ruby in Paradise,523,Victor Nunez,Todd Field,Drama|Romance,Allison Dean,Ruby in Paradise ,Dorothy Lyman,desire|florida|identity|resort town|sales,http://www.imdb.com/title/tt0108000/?ref_=fn_tt_tt_1
August,660,Eldar Rapaport,Adrian Gonzalez,Drama|Romance,Murray Bartlett,August ,Edward Conna,apartment|gay parent|job interview|male pubic hair|pubic hair,http://www.imdb.com/title/tt1753460/?ref_=fn_tt_tt_1
August,60524,Eldar Rapaport,Adrian Gonzalez,Drama|Romance,Murray Bartlett,August ,Edward Conna,apartment|gay parent|job interview|male pubic hair|pubic hair,http://www.imdb.com/title/tt1753460/?ref_=fn_tt_tt_1
Stonewall,831,Roland Emmerich,Caleb Landry Jones,Drama,Jeremy Irvine,Stonewall ,Matt Craven,box office flop|critically bashed|gay rights|new york city|stonewall riots,http://www.imdb.com/title/tt3018070/?ref_=fn_tt_tt_1
